"location","target","score","forecast_week","competition_week","skill","model"
"HHS Region 5","Season onset",-2.42774823594805,12,22,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 5","Season peak week",-2.39789527279837,12,22,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 6","Season onset",-2.42774823594805,12,22,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 6","Season peak week",-2.39789527279837,12,22,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 7","Season onset",-2.42774823594805,12,22,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 7","Season peak week",-2.39789527279837,12,22,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 8","Season onset",-2.42774823594805,12,22,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 8","Season peak week",-2.11021320034659,12,22,0.121212121212121,"ARLR_Gaussker"
"HHS Region 9","Season onset",-2.42774823594805,12,22,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 9","Season peak week",-2.39789527279837,12,22,0.0909090909090909,"ARLR_Gaussker"
"US National","Season onset",-2.42774823594805,12,22,0.0882352941176471,"ARLR_Gaussker"
"US National","Season peak week",-2.39789527279837,12,22,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 1","Season peak percentage",-3.77658503453304,12,22,0.0229007633587786,"ARLR_Gaussker"
"HHS Region 10","Season peak percentage",-3.77658503453304,12,22,0.0229007633587786,"ARLR_Gaussker"
"HHS Region 2","Season peak percentage",-3.77658503453304,12,22,0.0229007633587786,"ARLR_Gaussker"
"HHS Region 3","Season peak percentage",-3.77658503453304,12,22,0.0229007633587786,"ARLR_Gaussker"
"HHS Region 4","Season peak percentage",-3.77658503453304,12,22,0.0229007633587786,"ARLR_Gaussker"
"HHS Region 5","Season peak percentage",-3.77658503453304,12,22,0.0229007633587786,"ARLR_Gaussker"
"HHS Region 6","Season peak percentage",-3.77658503453304,12,22,0.0229007633587786,"ARLR_Gaussker"
"HHS Region 7","Season peak percentage",-3.77658503453304,12,22,0.0229007633587786,"ARLR_Gaussker"
"HHS Region 8","Season peak percentage",-3.77658503453304,12,22,0.0229007633587786,"ARLR_Gaussker"
"HHS Region 9","Season peak percentage",-3.77658503453304,12,22,0.0229007633587786,"ARLR_Gaussker"
"US National","Season peak percentage",-3.77658503453304,12,22,0.0229007633587786,"ARLR_Gaussker"
"US National","1 wk ahead",-1.17010163064033,12,22,0.310335400077311,"ARLR_Gaussker"
"HHS Region 1","1 wk ahead",-1.77117422439256,12,22,0.170133097056935,"ARLR_Gaussker"
"HHS Region 2","1 wk ahead",-1.70161184067671,12,22,0.182389304498924,"ARLR_Gaussker"
"HHS Region 3","1 wk ahead",-1.65177397133309,12,22,0.19170951959779,"ARLR_Gaussker"
"HHS Region 4","1 wk ahead",-1.59844432162078,12,22,0.202210848477714,"ARLR_Gaussker"
"HHS Region 5","1 wk ahead",-1.59078857158025,12,22,0.203764865180726,"ARLR_Gaussker"
"HHS Region 6","1 wk ahead",-1.64650455156329,12,22,0.192722383790051,"ARLR_Gaussker"
"HHS Region 7","1 wk ahead",-2.39037781838748,12,22,0.0915950710371923,"ARLR_Gaussker"
"HHS Region 8","1 wk ahead",-2.00636498863111,12,22,0.134476611314885,"ARLR_Gaussker"
"HHS Region 9","1 wk ahead",-1.39765758703844,12,22,0.247175272921023,"ARLR_Gaussker"
"HHS Region 10","1 wk ahead",-2.36704319404456,12,22,0.0937575396863283,"ARLR_Gaussker"
"US National","2 wk ahead",-1.75776555529738,12,22,0.172429718365606,"ARLR_Gaussker"
"HHS Region 1","2 wk ahead",-1.96622384428751,12,22,0.139984462554196,"ARLR_Gaussker"
"HHS Region 2","2 wk ahead",-2.26740303779919,12,22,0.103580826591088,"ARLR_Gaussker"
"HHS Region 3","2 wk ahead",-1.99897554105342,12,22,0.135473999720852,"ARLR_Gaussker"
"HHS Region 4","2 wk ahead",-2.09572033017537,12,22,0.12298162436518,"ARLR_Gaussker"
"HHS Region 5","2 wk ahead",-1.90641419147562,12,22,0.148612327657432,"ARLR_Gaussker"
"HHS Region 6","2 wk ahead",-2.28563998794671,12,22,0.101708948771346,"ARLR_Gaussker"
"HHS Region 7","2 wk ahead",-2.41147922589217,12,22,0.0896825356774083,"ARLR_Gaussker"
"HHS Region 8","2 wk ahead",-2.12397388192901,12,22,0.11955558349182,"ARLR_Gaussker"
"HHS Region 9","2 wk ahead",-1.77255738480187,12,22,0.169897938361364,"ARLR_Gaussker"
"HHS Region 10","2 wk ahead",-2.39924669838113,12,22,0.0907863170165061,"ARLR_Gaussker"
"US National","3 wk ahead",-3.2458221021849,12,22,0.0389365413802679,"ARLR_Gaussker"
"HHS Region 1","3 wk ahead",-2.07666743161719,12,22,0.125347245183319,"ARLR_Gaussker"
"HHS Region 2","3 wk ahead",-2.90543819895687,12,22,0.0547248049941767,"ARLR_Gaussker"
"HHS Region 3","3 wk ahead",-2.19445551145531,12,22,0.111419211476115,"ARLR_Gaussker"
"HHS Region 4","3 wk ahead",-2.46915096191692,12,22,0.0846567052638991,"ARLR_Gaussker"
"HHS Region 5","3 wk ahead",-2.21130573572505,12,22,0.109557501935823,"ARLR_Gaussker"
"HHS Region 6","3 wk ahead",-3.67922964945458,12,22,0.0252424128537314,"ARLR_Gaussker"
"HHS Region 7","3 wk ahead",-2.67522276451211,12,22,0.0688914801082441,"ARLR_Gaussker"
"HHS Region 8","3 wk ahead",-2.39770479515474,12,22,0.0909264087077862,"ARLR_Gaussker"
