date,flu,cough,fever,influenza,cold,isPartial,state
2015-02-22,12,18,20,2,50,False,Arizona
2015-03-01,11,16,18,1,44,False,Arizona
2015-03-08,11,15,27,2,49,False,Arizona
2015-03-15,10,12,25,1,44,False,Arizona
2015-03-22,8,14,23,1,45,False,Arizona
2015-03-29,8,11,24,1,48,False,Arizona
2015-04-05,12,11,23,1,47,False,Arizona
2015-04-12,12,11,27,2,48,False,Arizona
2015-04-19,14,13,24,1,46,False,Arizona
2015-04-26,10,11,21,1,46,False,Arizona
2015-05-03,7,10,18,1,50,False,Arizona
2015-05-10,7,11,19,1,49,False,Arizona
2015-05-17,9,10,19,1,43,False,Arizona
2015-05-24,8,10,20,1,43,False,Arizona
2015-05-31,6,10,19,1,41,False,Arizona
2015-06-07,8,9,18,0,39,False,Arizona
2015-06-14,6,8,20,0,39,False,Arizona
2015-06-21,4,7,17,1,42,False,Arizona
2015-06-28,5,7,15,1,39,False,Arizona
2015-07-05,4,8,16,0,38,False,Arizona
2015-07-12,3,7,16,1,37,False,Arizona
2015-07-19,4,7,15,1,43,False,Arizona
2015-07-26,5,7,15,0,38,False,Arizona
2015-08-02,4,7,15,0,40,False,Arizona
2015-08-09,4,7,17,1,37,False,Arizona
2015-08-16,4,9,23,1,38,False,Arizona
2015-08-23,6,10,17,1,40,False,Arizona
2015-08-30,6,9,17,1,39,False,Arizona
2015-09-06,8,9,17,1,39,False,Arizona
2015-09-13,11,8,17,1,41,False,Arizona
2015-09-20,11,8,20,1,38,False,Arizona
2015-09-27,15,10,20,1,40,False,Arizona
2015-10-04,18,11,17,2,45,False,Arizona
2015-10-11,15,10,23,1,40,False,Arizona
2015-10-18,16,12,19,1,46,False,Arizona
2015-10-25,17,13,20,1,40,False,Arizona
2015-11-01,16,12,21,1,53,False,Arizona
2015-11-08,15,13,17,1,51,False,Arizona
2015-11-15,15,19,19,1,60,False,Arizona
